event_time,selection_reason,current_alarm_code,seconds_to_target_alarm,actual_breakage,spindle_speed_p1_rpm,spindle_speed_p2_rpm,feed_rate_p1_mm_min,feed_rate_p2_mm_min,spindle_motor_load_p1_pct,spindle_motor_load_p2_pct,servo_load_current_p1_pct,servo_load_current_p2_pct,cutting_time_p1_s,cutting_time_p2_s,temp_apc_p1_c,temp_apc_p2_c,split
2023-03-28 10:18:26+00:00,sampled_healthy,0.0,717118.0,0,1600.0,3002.0,20000.0,905.0,98.0,76.0,2.0,1.0,2.608,3.84,43.0,38.0,train
2023-03-28 10:31:56.500000+00:00,sampled_healthy,0.0,716307.5,0,210.0,4000.0,500.0,607.0,27.0,29.0,1.0,1.0,2.112,0.752,42.0,38.0,train
2023-03-28 10:43:46+00:00,sampled_healthy,0.0,715598.0,0,4000.0,3999.0,300.0,4000.0,2.0,16.0,1.0,1.0,0.432,0.144,42.0,38.0,train
2023-03-28 10:56:02+00:00,sampled_healthy,0.0,714862.0,0,1005.0,2838.0,1071.0,40000.0,120.0,61.0,1.0,1.0,0.944,0.48,43.0,38.0,train
2023-03-28 11:12:15.500000+00:00,sampled_healthy,0.0,713888.5,0,1569.0,2999.0,500.0,1500.0,61.0,100.0,2.0,3.0,2.624,15.408,42.0,38.0,train
2023-03-28 11:24:06.500000+00:00,sampled_healthy,0.0,713177.5,0,3998.0,1202.0,200.0,4000.0,27.0,5.0,2.0,1.0,3.808,0.592,43.0,38.0,train
2023-03-28 11:36:03.500000+00:00,sampled_healthy,0.0,712460.5,0,3999.0,3753.0,500.0,7625.0,2.0,15.0,2.0,1.0,2.832,0.96,43.0,38.0,train
2023-03-28 11:48:20.500000+00:00,sampled_healthy,0.0,711723.5,0,1456.0,3690.0,200.0,738.0,89.0,61.0,2.0,2.0,2.224,2.24,43.0,38.0,train
2023-03-28 12:50:14+00:00,sampled_healthy,0.0,708010.0,0,3987.0,4000.0,997.0,1144.0,77.0,7.0,4.0,5.0,6.72,0.256,40.0,37.0,train
2023-03-28 13:02:19.500000+00:00,sampled_healthy,0.0,707284.5,0,4000.0,3999.0,300.0,13929.0,1.0,7.0,1.0,1.0,9.68,0.64,40.0,37.0,train
2023-03-28 13:14:57.500000+00:00,sampled_healthy,0.0,706526.5,0,101.0,100.0,11149.0,28571.0,32.0,4.0,1.0,6.0,8.608,5.488,41.0,37.0,train
2023-03-28 13:26:56.500000+00:00,sampled_healthy,0.0,705807.5,0,1599.0,3001.0,200.0,890.0,157.0,83.0,2.0,1.0,2.64,11.648,41.0,38.0,train
2023-03-28 13:38:57.500000+00:00,sampled_healthy,0.0,705086.5,0,2541.0,3999.0,627.0,280.0,163.0,4.0,4.0,1.0,0.576,0.752,42.0,38.0,train
2023-03-28 13:50:54.500000+00:00,sampled_healthy,0.0,704369.5,0,4000.0,1.0,300.0,15000.0,1.0,21.0,1.0,1.0,11.744,0.832,42.0,38.0,train
2023-03-28 14:03:23.500000+00:00,sampled_healthy,0.0,703620.5,0,97.0,498.0,40000.0,15000.0,3.0,5.0,1.0,6.0,8.608,3.184,42.0,39.0,train
2023-03-28 14:15:15+00:00,sampled_other_alarm,500.0,702909.0,0,3543.0,2825.0,704.0,15000.0,154.0,20.0,3.0,1.0,4.208,0.64,43.0,39.0,train
2023-03-28 14:15:27+00:00,sampled_other_alarm,500.0,702897.0,0,1162.0,2401.0,20000.0,467.0,152.0,150.0,3.0,1.0,0.624,0.816,43.0,39.0,train
2023-03-28 14:16:51.500000+00:00,sampled_healthy,0.0,702812.5,0,1162.0,2998.0,20000.0,2399.0,152.0,70.0,3.0,1.0,2.64,30.032,42.0,39.0,train
2023-03-28 14:28:38.500000+00:00,sampled_healthy,0.0,702105.5,0,1826.0,3999.0,528.0,15000.0,163.0,1.0,4.0,1.0,0.192,0.752,42.0,39.0,train
2023-03-28 14:40:34.500000+00:00,sampled_healthy,0.0,701389.5,0,3999.0,3999.0,500.0,8571.0,1.0,24.0,1.0,1.0,15.504,0.752,43.0,39.0,train
2023-03-28 14:52:49.500000+00:00,sampled_healthy,0.0,700654.5,0,80.0,70.0,40000.0,268.0,9.0,19.0,1.0,2.0,8.608,5.504,42.0,39.0,train
2023-03-28 15:04:50.500000+00:00,sampled_healthy,0.0,699933.5,0,1310.0,3001.0,1000.0,2669.0,111.0,69.0,2.0,1.0,2.64,22.32,42.0,39.0,train
2023-03-28 15:17:26.500000+00:00,sampled_healthy,0.0,699177.5,0,3995.0,151.0,999.0,4000.0,57.0,28.0,4.0,1.0,11.712,0.416,42.0,39.0,train
2023-03-28 15:29:48.500000+00:00,sampled_healthy,0.0,698435.5,0,4000.0,3999.0,300.0,280.0,1.0,29.0,1.0,2.0,11.28,0.368,42.0,39.0,train
2023-03-28 15:42:35.500000+00:00,sampled_healthy,0.0,697668.5,0,978.0,2501.0,20000.0,40000.0,100.0,139.0,1.0,43.0,0.912,0.944,43.0,39.0,train
2023-03-28 15:54:37.500000+00:00,sampled_healthy,0.0,696946.5,0,1601.0,1801.0,114.0,180.0,84.0,55.0,2.0,1.0,2.032,3.376,43.0,39.0,train
2023-03-28 16:06:51+00:00,sampled_healthy,0.0,696213.0,0,2999.0,4001.0,90.0,4000.0,14.0,22.0,1.0,1.0,13.664,0.128,43.0,39.0,train
2023-03-28 16:18:32+00:00,sampled_healthy,0.0,695512.0,0,3999.0,3999.0,500.0,280.0,1.0,11.0,2.0,1.0,6.544,0.64,42.0,39.0,train
2023-03-28 16:31:48.500000+00:00,sampled_healthy,0.0,694715.5,0,1600.0,4501.0,20000.0,900.0,102.0,93.0,2.0,3.0,2.224,10.496,42.0,39.0,train
2023-03-28 16:44:31.500000+00:00,sampled_healthy,0.0,693952.5,0,1415.0,1501.0,20857.0,15000.0,79.0,4.0,2.0,3.0,2.032,1.056,42.0,39.0,train
2023-03-28 16:56:29+00:00,sampled_healthy,0.0,693235.0,0,4000.0,3999.0,7135.0,4000.0,5.0,10.0,2.0,1.0,0.48,0.752,42.0,39.0,train
2023-03-28 17:08:45.500000+00:00,sampled_healthy,0.0,692498.5,0,4500.0,3999.0,450.0,613.0,1.0,7.0,1.0,4.0,4.784,0.256,42.0,39.0,train
2023-03-28 17:21:27.500000+00:00,sampled_healthy,0.0,691736.5,0,546.0,5003.0,8571.0,75.0,158.0,45.0,3.0,1.0,2.24,5.344,42.0,39.0,train
2023-03-28 17:33:27.500000+00:00,sampled_healthy,0.0,691016.5,0,217.0,4000.0,54.0,12036.0,27.0,4.0,2.0,1.0,2.112,0.752,42.0,39.0,train
2023-03-28 17:45:18+00:00,sampled_healthy,0.0,690306.0,0,3034.0,4002.0,162000.0,90.0,26.0,7.0,1.0,1.0,22.192,0.752,42.0,39.0,train
2023-03-28 17:58:14+00:00,sampled_healthy,0.0,689530.0,0,92.0,99.0,40000.0,40000.0,6.0,11.0,3.0,1.0,0.208,0.832,42.0,39.0,train
2023-03-28 18:10:13.500000+00:00,sampled_healthy,0.0,688810.5,0,1599.0,3001.0,200.0,631.0,144.0,78.0,1.0,1.0,2.64,28.416,42.0,39.0,train
2023-03-28 18:22:09+00:00,sampled_healthy,0.0,688095.0,0,3999.0,4000.0,200.0,4000.0,23.0,5.0,2.0,1.0,17.616,0.608,42.0,39.0,train
2023-03-28 18:34:11.500000+00:00,sampled_healthy,0.0,687372.5,0,4000.0,3999.0,500.0,4000.0,1.0,10.0,1.0,4.0,5.008,0.176,43.0,39.0,train
2023-03-28 18:47:07+00:00,sampled_healthy,0.0,686597.0,0,1282.0,4097.0,200.0,819.0,122.0,92.0,2.0,3.0,2.208,6.0,43.0,39.0,train
2023-03-28 18:58:58+00:00,sampled_healthy,0.0,685886.0,0,654.0,2811.0,160.0,843.0,159.0,27.0,7.0,2.0,2.032,5.744,43.0,39.0,train
2023-03-28 19:14:10+00:00,sampled_healthy,0.0,684974.0,0,3998.0,4000.0,160.0,17143.0,27.0,21.0,2.0,1.0,8.704,0.752,42.0,39.0,train
2023-03-28 19:26:22+00:00,sampled_healthy,0.0,684242.0,0,4000.0,4000.0,357.0,280.0,1.0,29.0,2.0,1.0,1.248,0.4,42.0,39.0,train
2023-03-28 19:39:09.500000+00:00,sampled_healthy,0.0,683474.5,0,1603.0,3690.0,200.0,738.0,13.0,60.0,3.0,2.0,2.224,3.36,43.0,39.0,train
2023-03-28 19:51:23.500000+00:00,sampled_healthy,0.0,682740.5,0,261.0,2813.0,200.0,709.0,152.0,15.0,1.0,1.0,2.016,1.6,42.0,39.0,train
2023-03-28 20:03:37.500000+00:00,sampled_healthy,0.0,682006.5,0,4002.0,4.0,240.0,4000.0,1.0,3.0,3.0,1.0,3.68,0.192,43.0,39.0,train
2023-03-28 20:16:24+00:00,sampled_healthy,0.0,681240.0,0,3000.0,3999.0,28571.0,280.0,17.0,14.0,1.0,3.0,3.936,0.496,42.0,39.0,train
2023-03-28 20:37:33.500000+00:00,sampled_healthy,0.0,679970.5,0,3000.0,791.0,300.0,77143.0,18.0,9.0,2.0,1.0,3.008,0.848,42.0,38.0,train
2023-03-28 20:54:39.500000+00:00,sampled_healthy,0.0,678944.5,0,1601.0,5004.0,20000.0,75.0,40.0,44.0,1.0,1.0,2.24,3.456,42.0,38.0,train
2023-03-28 21:06:42.500000+00:00,sampled_healthy,0.0,678221.5,0,1108.0,3940.0,714.0,233.0,161.0,168.0,31.0,1.0,2.016,1.008,42.0,38.0,train
2023-03-28 21:24:36.500000+00:00,sampled_healthy,0.0,677147.5,0,1602.0,2564.0,20000.0,15000.0,36.0,173.0,2.0,1.0,2.0,0.848,42.0,38.0,train
2023-03-28 21:36:46+00:00,sampled_healthy,0.0,676418.0,0,2897.0,5.0,57857.0,4000.0,1.0,28.0,1.0,1.0,3.712,0.464,42.0,38.0,train
2023-03-28 22:00:17+00:00,sampled_healthy,0.0,675007.0,0,1601.0,5003.0,20000.0,75.0,61.0,44.0,3.0,1.0,2.224,10.992,43.0,38.0,train
2023-03-28 22:12:09+00:00,sampled_healthy,0.0,674295.0,0,1608.0,4503.0,20000.0,270.0,22.0,42.0,2.0,2.0,2.0,3.024,42.0,38.0,train
2023-03-28 22:20:01+00:00,sampled_other_alarm,500.0,673823.0,0,775.0,3000.0,1000.0,1500.0,160.0,86.0,3.0,1.0,2.656,8.24,42.0,38.0,train
2023-03-28 22:20:12+00:00,sampled_other_alarm,500.0,673812.0,0,775.0,3001.0,1000.0,916.0,160.0,82.0,3.0,1.0,2.656,19.2,42.0,38.0,train
2023-03-28 22:20:24+00:00,sampled_other_alarm,500.0,673800.0,0,775.0,453.0,1000.0,571.0,160.0,98.0,3.0,1.0,2.656,28.64,42.0,38.0,train
2023-03-28 22:20:36+00:00,sampled_other_alarm,500.0,673788.0,0,775.0,1800.0,14286.0,18.0,160.0,1.0,3.0,1.0,2.0,0.032,42.0,38.0,train
2023-03-28 22:20:48+00:00,sampled_other_alarm,500.0,673776.0,0,775.0,498.0,14286.0,400.0,160.0,133.0,3.0,1.0,2.0,0.576,42.0,38.0,train
2023-03-28 22:20:59+00:00,sampled_other_alarm,500.0,673765.0,0,775.0,1622.0,14286.0,695.0,160.0,170.0,3.0,1.0,2.0,0.272,42.0,38.0,train
2023-03-28 22:21:11+00:00,sampled_other_alarm,500.0,673753.0,0,775.0,491.0,14286.0,225.0,160.0,6.0,3.0,24.0,2.0,0.304,42.0,38.0,train
