condition,repeat,row_type,feature,ks_statistic,ks_pvalue,psi,wasserstein,mean_shift,drift_detected,trigger_by_ks,trigger_by_psi,trigger_by_mean_shift,drift_score,drifted_features,severity,requires_retraining
nominal,1,feature,spindle_speed,0.068333,0.385164,0.085283,17.539755,0.092711,False,False,False,False,0.15136,0,low,False
nominal,1,feature,feed_rate,0.0475,0.818476,0.071813,0.001613,0.032914,False,False,False,False,0.15136,0,low,False
nominal,1,feature,vibration_x,0.071667,0.328482,0.049112,0.006856,0.050734,False,False,False,False,0.15136,0,low,False
nominal,1,feature,vibration_y,0.045,0.864555,0.041144,0.003301,0.00346,False,False,False,False,0.15136,0,low,False
nominal,1,feature,acoustic_emission,0.049167,0.78518,0.041611,0.361761,0.013483,False,False,False,False,0.15136,0,low,False
nominal,1,feature,spindle_temp,0.05,0.76793,0.039229,0.280783,0.001553,False,False,False,False,0.15136,0,low,False
nominal,1,feature,motor_current,0.05,0.76793,0.078054,0.09825,0.021009,False,False,False,False,0.15136,0,low,False
nominal,1,feature,tool_wear,0.056667,0.622695,0.036399,0.001791,0.040724,False,False,False,False,0.15136,0,low,False
nominal,1,feature,material_hardness,0.0675,0.400238,0.050699,0.529041,0.032992,False,False,False,False,0.15136,0,low,False
nominal,1,overall,__overall__,,,,,,,,,,0.15136,0,low,False
nominal,2,feature,spindle_speed,0.07,0.356091,0.044561,21.685767,0.064719,False,False,False,False,0.180316,0,low,False
nominal,2,feature,feed_rate,0.0525,0.714452,0.042379,0.001257,0.045183,False,False,False,False,0.180316,0,low,False
nominal,2,feature,vibration_x,0.0575,0.604368,0.043889,0.005323,0.026281,False,False,False,False,0.180316,0,low,False
nominal,2,feature,vibration_y,0.038333,0.955437,0.032705,0.004168,0.004743,False,False,False,False,0.180316,0,low,False
nominal,2,feature,acoustic_emission,0.0525,0.714452,0.027339,0.457409,0.019288,False,False,False,False,0.180316,0,low,False
nominal,2,feature,spindle_temp,0.065833,0.431423,0.052837,0.39528,0.096833,False,False,False,False,0.180316,0,low,False
nominal,2,feature,motor_current,0.051667,0.732511,0.032637,0.125137,0.058235,False,False,False,False,0.180316,0,low,False
nominal,2,feature,tool_wear,0.081667,0.193672,0.061433,0.002436,0.078248,False,False,False,False,0.180316,0,low,False
nominal,2,feature,material_hardness,0.0775,0.243533,0.076464,0.724639,0.065141,False,False,False,False,0.180316,0,low,False
nominal,2,overall,__overall__,,,,,,,,,,0.180316,0,low,False
nominal,3,feature,spindle_speed,0.040833,0.927564,0.059646,10.362977,0.032669,False,False,False,False,0.123905,0,low,False
nominal,3,feature,feed_rate,0.045833,0.849786,0.025679,0.001405,0.024636,False,False,False,False,0.123905,0,low,False
nominal,3,feature,vibration_x,0.0625,0.497627,0.03783,0.006395,0.004049,False,False,False,False,0.123905,0,low,False
nominal,3,feature,vibration_y,0.076667,0.254565,0.035712,0.007674,0.157296,False,False,False,False,0.123905,0,low,False
nominal,3,feature,acoustic_emission,0.051667,0.732511,0.044106,0.446894,0.054776,False,False,False,False,0.123905,0,low,False
nominal,3,feature,spindle_temp,0.045833,0.849786,0.050771,0.344063,0.010322,False,False,False,False,0.123905,0,low,False
nominal,3,feature,motor_current,0.055,0.659502,0.07577,0.112687,0.073192,False,False,False,False,0.123905,0,low,False
nominal,3,feature,tool_wear,0.048333,0.802048,0.043784,0.001346,0.01882,False,False,False,False,0.123905,0,low,False
nominal,3,feature,material_hardness,0.046667,0.834408,0.058074,0.404628,0.048162,False,False,False,False,0.123905,0,low,False
nominal,3,overall,__overall__,,,,,,,,,,0.123905,0,low,False
nominal,4,feature,spindle_speed,0.041667,0.916546,0.04894,9.27098,0.050064,False,False,False,False,0.118649,0,low,False
nominal,4,feature,feed_rate,0.055,0.659502,0.051735,0.002182,0.042534,False,False,False,False,0.118649,0,low,False
nominal,4,feature,vibration_x,0.0425,0.9047,0.03685,0.004159,0.022684,False,False,False,False,0.118649,0,low,False
nominal,4,feature,vibration_y,0.044167,0.878662,0.057042,0.004169,0.000235,False,False,False,False,0.118649,0,low,False
nominal,4,feature,acoustic_emission,0.0425,0.9047,0.035195,0.436048,0.012586,False,False,False,False,0.118649,0,low,False
nominal,4,feature,spindle_temp,0.06,0.550125,0.060046,0.354487,0.0904,False,False,False,False,0.118649,0,low,False
nominal,4,feature,motor_current,0.033333,0.98836,0.029521,0.069442,0.029823,False,False,False,False,0.118649,0,low,False
nominal,4,feature,tool_wear,0.064167,0.463922,0.023773,0.001463,0.01433,False,False,False,False,0.118649,0,low,False
nominal,4,feature,material_hardness,0.076667,0.254565,0.096845,0.627426,0.02829,False,False,False,False,0.118649,0,low,False
nominal,4,overall,__overall__,,,,,,,,,,0.118649,0,low,False
nominal,5,feature,spindle_speed,0.065,0.447514,0.072737,16.821382,0.013232,False,False,False,False,0.162468,0,low,False
nominal,5,feature,feed_rate,0.053333,0.696231,0.065922,0.001701,0.019967,False,False,False,False,0.162468,0,low,False
nominal,5,feature,vibration_x,0.06,0.550125,0.095785,0.005609,0.021272,False,False,False,False,0.162468,0,low,False
nominal,5,feature,vibration_y,0.053333,0.696231,0.062268,0.004833,0.005785,False,False,False,False,0.162468,0,low,False
nominal,5,feature,acoustic_emission,0.0575,0.604368,0.05243,0.402679,0.009766,False,False,False,False,0.162468,0,low,False
nominal,5,feature,spindle_temp,0.050833,0.750355,0.057645,0.292903,0.007331,False,False,False,False,0.162468,0,low,False
nominal,5,feature,motor_current,0.045,0.864555,0.031334,0.092965,0.032447,False,False,False,False,0.162468,0,low,False
nominal,5,feature,tool_wear,0.0475,0.818476,0.027724,0.001907,0.065424,False,False,False,False,0.162468,0,low,False
nominal,5,feature,material_hardness,0.101667,0.054401,0.055379,0.846166,0.09491,False,False,False,False,0.162468,0,low,False
nominal,5,overall,__overall__,,,,,,,,,,0.162468,0,low,False
nominal,6,feature,spindle_speed,0.06,0.550125,0.023561,18.595172,0.056047,False,False,False,False,0.187006,0,low,False
nominal,6,feature,feed_rate,0.050833,0.750355,0.024,0.001392,0.035199,False,False,False,False,0.187006,0,low,False
nominal,6,feature,vibration_x,0.055833,0.641086,0.069031,0.004019,0.015339,False,False,False,False,0.187006,0,low,False
nominal,6,feature,vibration_y,0.076667,0.254565,0.045371,0.005174,0.103858,False,False,False,False,0.187006,0,low,False
nominal,6,feature,acoustic_emission,0.068333,0.385164,0.03858,0.387462,0.069563,False,False,False,False,0.187006,0,low,False
nominal,6,feature,spindle_temp,0.048333,0.802048,0.05972,0.272307,0.06723,False,False,False,False,0.187006,0,low,False
nominal,6,feature,motor_current,0.04,0.937728,0.048017,0.06175,0.031426,False,False,False,False,0.187006,0,low,False
nominal,6,feature,tool_wear,0.098333,0.068534,0.067869,0.0024,0.030926,False,False,False,False,0.187006,0,low,False
nominal,6,feature,material_hardness,0.0675,0.400238,0.053948,0.311066,0.03998,False,False,False,False,0.187006,0,low,False
nominal,6,overall,__overall__,,,,,,,,,,0.187006,0,low,False
nominal,7,feature,spindle_speed,0.063333,0.480632,0.047364,11.557645,0.09,False,False,False,False,0.167336,0,low,False
nominal,7,feature,feed_rate,0.065833,0.431423,0.072297,0.002006,0.028246,False,False,False,False,0.167336,0,low,False
nominal,7,feature,vibration_x,0.046667,0.834408,0.021608,0.004336,0.030683,False,False,False,False,0.167336,0,low,False
nominal,7,feature,vibration_y,0.0575,0.604368,0.054241,0.004956,0.039728,False,False,False,False,0.167336,0,low,False
nominal,7,feature,acoustic_emission,0.09,0.118036,0.065752,0.693704,0.033922,False,False,False,False,0.167336,0,low,False
nominal,7,feature,spindle_temp,0.064167,0.463922,0.037276,0.237713,0.06404,False,False,False,False,0.167336,0,low,False
nominal,7,feature,motor_current,0.035,0.980523,0.02824,0.078757,0.011014,False,False,False,False,0.167336,0,low,False
nominal,7,feature,tool_wear,0.039167,0.947022,0.029419,0.001122,0.001607,False,False,False,False,0.167336,0,low,False
nominal,7,feature,material_hardness,0.07,0.356091,0.029787,0.548198,0.029314,False,False,False,False,0.167336,0,low,False
nominal,7,overall,__overall__,,,,,,,,,,0.167336,0,low,False
nominal,8,feature,spindle_speed,0.070833,0.342102,0.074631,19.581718,0.04657,False,False,False,False,0.192666,0,low,False
