record_type,observed_at,event_time,cycle_id,latency_ms,prediction,actual_breakage,drift_score,model_name,model_version,cpu_pct,mem_usage_mib,mem_limit_mib,mem_pct
docker_stats,2026-03-09T22:27:28.125360+00:00,,,,,,,,,413.17,127.3,15974.4,0.8
docker_stats,2026-03-09T22:27:30.655349+00:00,,,,,,,,,245.62,127.6,15974.4,0.8
docker_stats,2026-03-09T22:27:33.190462+00:00,,,,,,,,,363.03,127.4,15974.4,0.8
docker_stats,2026-03-09T22:27:36.201301+00:00,,,,,,,,,425.44,127.5,15974.4,0.8
docker_stats,2026-03-09T22:27:38.729995+00:00,,,,,,,,,251.38,127.8,15974.4,0.8
docker_stats,2026-03-09T22:27:41.260665+00:00,,,,,,,,,357.62,127.3,15974.4,0.8
docker_stats,2026-03-09T22:27:44.629569+00:00,,,,,,,,,0.01,127.3,15974.4,0.8
inference_event,,2026-03-09 22:27:26.852334+00,1,25.8701,1,1,0.251696,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:26.902833+00,2,57.6119,1,0,0.18826,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:26.954539+00,3,12.5537,1,1,0.146317,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:27.005852+00,4,80.1263,1,0,0.244902,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:27.056795+00,5,5.342,1,1,0.220336,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:27.107839+00,6,6.3727,1,1,0.261081,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:27.158794+00,7,15.5276,1,1,0.205934,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:27.209794+00,8,6.7328,0,1,0.192246,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:27.261668+00,9,15.8441,1,1,0.157938,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:27.313265+00,10,4.0954,0,1,0.265459,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:27.367693+00,11,40.389,0,0,0.253719,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:27.419443+00,12,46.0855,1,1,0.221231,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:27.471929+00,13,55.6644,1,0,0.32233,cnc_tool_breakage_classifier,1,,,,
inference_event,,2026-03-09 22:27:27.522865+00,14,45.3554,1,1,0.418271,cnc_tool_breakage_classifier,1,,,,
