event_time,cycle_id,deployment_generation,model_name,model_version,prediction,actual_breakage,drift_score,latency_ms,segment
2026-03-09 22:40:56.467587+00,1,2,cnc_tool_breakage_classifier,2,1,1,0.251274,16.7628,before_update
2026-03-09 22:40:56.519502+00,2,2,cnc_tool_breakage_classifier,2,0,0,0.18691,41.1559,before_update
2026-03-09 22:40:56.571206+00,3,2,cnc_tool_breakage_classifier,2,1,1,0.145519,24.6419,before_update
2026-03-09 22:40:56.623247+00,4,2,cnc_tool_breakage_classifier,2,1,0,0.247806,11.628,before_update
2026-03-09 22:40:56.674957+00,5,2,cnc_tool_breakage_classifier,2,1,1,0.222037,63.9561,before_update
2026-03-09 22:40:56.72554+00,6,2,cnc_tool_breakage_classifier,2,1,1,0.258616,71.4305,before_update
2026-03-09 22:40:56.776719+00,7,2,cnc_tool_breakage_classifier,2,1,1,0.207526,16.3353,before_update
2026-03-09 22:40:56.829126+00,8,2,cnc_tool_breakage_classifier,2,1,1,0.193813,3.565,before_update
2026-03-09 22:40:56.880171+00,9,2,cnc_tool_breakage_classifier,2,1,1,0.156815,3.3969,before_update
2026-03-09 22:40:56.931155+00,10,2,cnc_tool_breakage_classifier,2,1,1,0.259683,12.124,before_update
2026-03-09 22:40:56.982194+00,11,2,cnc_tool_breakage_classifier,2,0,0,0.253366,5.1017,before_update
2026-03-09 22:40:57.033905+00,12,2,cnc_tool_breakage_classifier,2,1,1,0.220154,23.5,before_update
2026-03-09 22:40:57.085628+00,13,2,cnc_tool_breakage_classifier,2,1,0,0.317442,3.9678,before_update
2026-03-09 22:40:57.139496+00,14,2,cnc_tool_breakage_classifier,2,1,1,0.414464,22.5883,before_update
2026-03-09 22:40:57.191884+00,15,2,cnc_tool_breakage_classifier,2,1,1,0.265859,19.3832,before_update
2026-03-09 22:40:57.243668+00,16,2,cnc_tool_breakage_classifier,2,1,1,0.321291,13.2564,before_update
2026-03-09 22:40:57.29913+00,17,2,cnc_tool_breakage_classifier,2,1,1,0.22469,34.0944,before_update
2026-03-09 22:40:57.350455+00,18,2,cnc_tool_breakage_classifier,2,1,0,0.303567,29.1657,before_update
2026-03-09 22:40:57.401318+00,19,2,cnc_tool_breakage_classifier,2,1,1,0.212775,72.163,before_update
2026-03-09 22:40:57.452155+00,20,2,cnc_tool_breakage_classifier,2,1,0,0.320985,76.0504,before_update
2026-03-09 22:40:57.503159+00,21,2,cnc_tool_breakage_classifier,2,1,1,0.206379,79.0213,before_update
2026-03-09 22:40:57.55423+00,22,2,cnc_tool_breakage_classifier,2,1,1,0.290083,82.6399,before_update
2026-03-09 22:40:57.605193+00,23,2,cnc_tool_breakage_classifier,2,1,1,0.340091,82.7247,before_update
2026-03-09 22:40:57.65628+00,24,2,cnc_tool_breakage_classifier,2,1,1,0.413002,81.65,before_update
